home               mean=0.3103  diffPct=0.363%
login              mean=0.3468  diffPct=0.414%
register           mean=0.3934  diffPct=0.465%
dashboard          mean=0.0000  diffPct=0.000%
advanced-stats     mean=0.0000  diffPct=0.000%
ai-predictions     mean=0.0000  diffPct=0.000%
help-support       mean=0.0032  diffPct=0.000%
market-analysis    mean=0.0097  diffPct=0.017%
match-analysis     mean=0.0059  diffPct=0.015%
match-reports      mean=0.0000  diffPct=0.000%
match-schedule     mean=0.0000  diffPct=0.000%
matches            mean=0.0090  diffPct=0.013%
news               mean=0.0015  diffPct=0.004%
player-analytics   mean=0.0000  diffPct=0.000%
profile            mean=0.0000  diffPct=0.000%
settings           mean=0.0000  diffPct=0.000%
sports-coverage    mean=0.0000  diffPct=0.000%
team-performance   mean=0.5737  diffPct=0.591%
value-bets         mean=0.0198  diffPct=0.024%
watchlist          mean=0.0000  diffPct=0.000%
